ID,1,2,3,4,5,6,7,8,9,10
751033,21,38,86,45,102,105,69,118,97,64
462254,12,111,74,94,91,19,46,21,105,3
307525,92,57,99,74,38,13,105,46,87,57
302875,5,106,80,0,64,70,74,95,112,28
941069,44,73,21,62,7,20,28,21,16,32
814135,28,91,67,79,80,33,5,95,97,103
149195,89,57,82,46,104,32,5,70,56,45
642513,53,5,98,84,50,19,28,107,45,48
743256,104,59,48,93,35,82,97,51,19,44
262645,81,58,1,118,44,50,51,99,69,27
960293,43,36,54,89,79,45,114,65,60,75
845412,26,42,20,24,42,41,22,65,48,12
700497,45,101,20,90,92,84,113,39,94,47
637273,101,59,14,97,0,24,52,24,64,33
380283,5,98,32,37,78,11,74,67,40,67
464919,78,80,86,15,68,77,7,27,115,58
209577,52,42,13,117,95,85,37,73,20,24
885724,120,101,26,94,116,117,118,47,65,28
431839,6,19,30,114,93,43,119,29,32,21
900203,97,3,7,68,68,17,63,25,4,96
278761,0,107,73,117,60,80,113,36,99,110
949974,119,37,24,103,26,66,95,27,81,21
169005,9,112,103,95,112,57,119,57,20,110
940631,13,19,9,15,25,27,15,97,32,42
256558,43,52,37,3,75,68,36,29,76,16
642526,28,35,83,24,5,98,15,51,80,63
446172,119,68,90,33,113,91,67,17,72,95
812530,79,18,35,27,107,43,19,67,96,50
184806,79,92,55,79,11,58,88,78,56,62
344034,95,95,54,34,53,93,24,87,16,55
177912,89,63,57,1,82,67,105,23,56,95
633471,53,78,16,39,70,97,110,61,103,119
275255,17,25,59,0,110,14,92,63,46,5
926731,42,34,100,4,105,80,7,19,29,109
168757,32,100,105,45,108,21,65,7,14,38
893548,18,69,100,91,63,29,18,72,18,120
974817,69,63,35,76,116,8,51,60,6,38
233536,7,98,6,114,27,118,14,69,96,107
808426,83,14,28,100,108,81,39,113,23,4
278294,96,109,46,6,93,12,64,98,35,59
831085,114,103,46,6,8,77,113,1,107,96
567426,77,27,82,113,33,77,79,102,114,64
201634,62,82,37,74,91,77,47,61,53,78
833370,52,32,77,83,96,59,11,26,1,76
415395,44,58,57,16,111,17,1,97,115,62
104390,45,101,68,8,119,50,19,6,27,49
175110,60,95,62,38,31,76,39,89,80,65
589915,99,47,23,72,102,80,102,74,87,27
730043,59,38,60,11,89,77,68,102,82,56
167946,11,116,35,75,6,26,10,1,12,52
681629,66,53,39,8,92,15,84,53,37,116
539497,44,79,75,80,23,112,119,94,89,115
585347,19,110,101,75,50,23,30,104,112,120
195961,106,56,80,14,110,92,8,112,36,118
237813,105,65,20,37,97,98,96,84,56,68
350063,97,3,90,104,93,21,64,31,113,8
599377,110,41,52,82,5,82,23,2,13,39
815209,67,74,10,109,39,65,74,120,59,17
245469,25,80,30,97,51,92,26,38,12,44
795102,43,97,64,51,3,103,3,84,25,58
523510,2,55,87,115,36,37,108,75,84,113
527971,65,25,1,1,28,14,25,81,26,14
888500,29,82,84,110,15,110,109,64,13,95
976163,119,7,17,39,11,25,77,100,15,76
280820,104,69,76,16,54,106,8,87,18,26
767914,52,30,62,46,19,59,8,65,106,71
538759,19,28,115,14,64,117,71,54,74,57
589421,39,41,20,6,64,37,34,91,100,70
743043,77,75,81,109,74,23,25,118,86,82
616914,70,116,94,79,116,88,94,93,117,32
210401,106,81,109,62,99,70,86,59,38,99
991407,5,27,90,81,56,100,107,37,111,19
924725,104,101,113,118,50,119,23,55,110,49
204392,82,0,105,9,60,13,93,50,85,97
705806,34,106,45,79,33,77,115,38,105,17
807821,58,18,19,70,40,3,66,90,69,120
683060,115,106,46,6,18,80,45,102,98,120
410746,37,117,41,109,45,29,99,39,44,77
907371,64,57,58,77,35,35,21,65,111,75
867803,87,30,91,36,89,100,60,21,50,21
924853,70,62,44,80,67,11,8,16,18,50
273797,109,60,97,83,110,14,115,96,49,86
330910,97,86,63,97,99,8,4,90,24,12
224955,55,32,84,66,42,110,80,70,76,82
421724,21,42,27,83,40,5,116,28,113,23
982101,111,24,15,25,13,71,92,82,11,21
960924,119,92,85,78,84,52,103,65,86,108
962870,13,99,45,9,76,64,95,109,70,28
181070,100,47,33,117,96,71,86,41,108,109
704466,80,33,51,37,50,82,11,66,44,40
202351,95,116,41,90,78,16,81,67,84,39
537631,32,91,113,54,60,54,67,0,19,64
216412,50,45,13,70,9,100,5,70,38,115
813096,41,26,74,118,118,78,119,77,36,68
573607,5,46,67,82,45,95,109,107,106,21
767926,10,38,63,19,7,20,85,116,11,69
745019,110,59,37,102,81,17,59,32,39,53
414568,87,24,6,117,85,12,76,24,75,33
763945,36,120,57,65,87,71,31,38,59,6
131243,111,100,6,7,88,42,7,45,4,64
669124,76,88,84,84,18,74,90,57,17,77
487030,17,33,57,42,91,39,60,77,97,89
490214,28,87,64,72,16,24,41,90,61,95
875628,35,60,1,102,52,19,25,58,65,42
226315,43,0,18,56,114,80,33,113,117,17
196989,105,91,75,43,32,15,78,84,95,15
557057,69,43,116,120,22,70,61,100,48,55
654776,65,76,101,115,103,118,40,31,94,85
744375,64,19,65,78,53,73,26,40,103,31
685757,12,89,69,65,64,6,64,111,85,21
493580,95,46,38,120,4,15,97,116,49,47
265440,58,27,31,29,17,106,113,52,115,34
228987,96,17,100,94,119,95,17,35,91,92
602741,106,57,74,44,1,15,64,15,114,51
982255,70,97,9,109,87,110,8,98,48,63
405226,69,46,5,120,103,5,45,56,23,76
370997,70,43,68,76,26,99,21,103,17,11
788279,103,35,2,24,111,33,17,61,27,28
839647,23,41,82,15,48,58,86,86,50,31
272698,59,96,113,61,77,55,114,107,109,42
